model,MAE,MSE,r2score,Root MSE
Linear Regression,272396.67375019414,205496162013.66153,0.686497269276451,453316.845058356
 Ridge Regression,272391.1695701623,205487700121.10648,0.6865101786485633,453307.5116530791
Lasso,272396.4396164046,205496031561.92886,0.6864974682922088,453316.7011725124
SVR,380120.2929984557,686159558429.953,-0.055604326167053575,828347.4865235924
Decision Tree Regressor,88949.80882376131,60259686452.99241,0.9080684715936347,245478.48470485638
Random Forest Regressor,71196.95809086291,21534284189.681396,0.9671475280536225,146745.64453393975
Random Forest Regressor,168347.3033210332,129496790589.9831,0.8024410914925197,359856.6250466748
